id,type,geometry.coordinates,geometry.type,properties.type,properties.name,properties.description,properties.image,properties.airviro_code,properties.indicators
3,Feature,"[25.928164, 59.515308]",Point,BACKGROUND,Lahemaa,"<p>Lahemaa seirejaam paikneb Palmse m&otilde;isast ligikaudu 10 km kaugusel alates 1985 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 609649/6597606. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega l&auml;mmastikdioksiidi, v&auml;&auml;veldioksiidi, s&uuml;sinikoksiidi, osooni, eriti peeneid osakesi, gaasilist elavh&otilde;bedat ning elements&uuml;siniku ja orgaanilise s&uuml;siniku sisaldust eriti peente osakeste fraktsioonis. Peente osakeste proovi kogutakse lisaks 168 h jooksul filtritele ja anal&uuml;&uuml;sitakse raskmetallide (As, Cd, Ni, Pb) ja benso(a)p&uuml;reeni sisaldust. Lisaks m&auml;&auml;ratakse gaasifaasis ja osakestel katioonide ja anioonide sisaldust ning gaasifaasis ammoniaagi kontsentratsiooni. Lahemaa seirejaam on &uuml;le-Euroopalise EMEP (European Monitoring and Evaluation Programme) seirev&otilde;rgustikku kuuluv II taseme seirejaam. Lisaks m&otilde;&otilde;detakse seirejaamas meteoroloogilisi n&auml;itajaid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>L&auml;mmastiku oksiidid</td>
			<td>Horiba APNA-360</td>
		</tr>
		<tr>
			<td>V&auml;&auml;veldioksiid</td>
			<td>Horiba APSA-360</td>
		</tr>
		<tr>
			<td>Osoon</td>
			<td>Horiba APOA-360</td>
		</tr>
		<tr>
			<td>S&uuml;sinikoksiid</td>
			<td>Horiba APMA-360</td>
		</tr>
		<tr>
			<td>PM25</td>
			<td>Met One BAM 1020</td>
		</tr>
		<tr>
			<td>PM10</td>
			<td>Digitel DHA-80</td>
		</tr>
		<tr>
			<td>Gaasiline elavh&otilde;be</td>
			<td>Lumex RA-915AM</td>
		</tr>
		<tr>
			<td>EC/OC PM2.5 fraktsioonis</td>
			<td>SunLabs Carbon Aerosol Analysis Field Instrument</td>
		</tr>
	</tbody>
</table>",,S04,"[1, 3, 4, 6, 13, 23, 34, 37, 41]"
9,Feature,"[21.844596, 58.376235]",Point,BACKGROUND,Vilsandi,"<p>Vilsandi seirejaam paikneb Saaremaast l&auml;&auml;nes paikneva Vilsandi saare keskosas alates 1994 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 373913/6472665. Vilsandi seirejaam on &uuml;le-Euroopalise EMEP (European Monitoring and Evaluation Programme) seirev&otilde;rgustikku kuuluv I taseme seirejaam. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega l&auml;mmastikdioksiidi, v&auml;&auml;veldioksiidi, osooni ja eriti peeneid osakesi. Lisaks m&otilde;&otilde;detakse seirejaamas meteoroloogilisi n&auml;itajaid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>L&auml;mmastiku oksiidid</td>
			<td>Horiba APNA-360</td>
		</tr>
		<tr>
			<td>V&auml;&auml;veldioksiid</td>
			<td>Horiba APSA-360</td>
		</tr>
		<tr>
			<td>Osoon</td>
			<td>Horiba APOA-360</td>
		</tr>
		<tr>
			<td>S&uuml;sinikoksiid</td>
			<td>Horiba APMA-360</td>
		</tr>
		<tr>
			<td>Eriti peened osakesed</td>
			<td>Met One BAM 1020</td>
		</tr>
	</tbody>
</table>",images/stations/vilsandi.jpg,S09,"[1, 3, 6, 23, 34, 37, 41, 81, 82]"
10,Feature,"[26.503401, 58.727153]",Point,BACKGROUND,Saarejärve,"<p>Saarej&auml;rve seirejaam paikneb J&otilde;gevamaal Saarej&auml;rve j&auml;rve l&auml;histel alates 1997 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 644977 / 6512430. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega l&auml;mmastikdioksiidi, v&auml;&auml;veldioksiidi, osooni ja eriti peeneid osakesi ning meteoroloogilisi parameetreid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>L&auml;mmastiku oksiidid</td>
			<td>Horiba APNA-360</td>
		</tr>
		<tr>
			<td>V&auml;&auml;veldioksiid</td>
			<td>Horiba APSA-360</td>
		</tr>
		<tr>
			<td>Osoon</td>
			<td>Horiba APOA-360</td>
		</tr>
		<tr>
			<td>PM25</td>
			<td>Met One BAM 1020</td>
		</tr>
	</tbody>
</table>",,S08,"[1, 3, 6, 23, 34, 37, 41]"
33,Feature,"[24.925486, 58.52445]",Point,BACKGROUND,Tahkuse,"<p>Tahkuse seirejaam paikneb Soomaal alates 1984 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 553919/6487518. Tahkuse &otilde;huseirejaam asutati Tartu &Uuml;likooli keskkonnaf&uuml;&uuml;sika instituudi uurimislaboratooriumi baasil.&nbsp;Tahkuse &otilde;huseirejaam on teostanud pikaajalisi kompleksseid atmosf&auml;&auml;ri f&uuml;&uuml;sikalisi ja keemilisi m&otilde;&otilde;tmisi, et saada statistiliselt kaalukat informatsiooni saasteparameetrite ja nende trendide kohta v&auml;hesaastatud maismaa-piirkonnas.</p>",,S31,"[1, 3, 6, 11, 68, 69]"
11,Feature,"[24.931303, 59.493664]",Point,INDUSTRY,Muuga 1,"<p>Muuga 1 seirejaam on paigaldatud Muuga Sadama l&auml;histele alates 1998 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 553077/6595384. Seirejaam kuulub Muuga Sadama &otilde;hukvaliteedi juhtimiss&uuml;steemi. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega mittemetaanseid s&uuml;sivesinikke, aromaatseid s&uuml;sivesinikke, vesiniksulfiidi ja meteoroloogilisi parameetreid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>&Uuml;lds&uuml;sivesinikud</td>
			<td>Horiba APHA-370</td>
		</tr>
		<tr>
			<td>Aromaatsed s&uuml;sivesinikud</td>
			<td>GC955 series 600</td>
		</tr>
		<tr>
			<td>Vesiniksulfiid</td>
			<td>APSA-360A/CU-1</td>
		</tr>
	</tbody>
</table>",,S11,"[8, 11, 34, 37, 41]"
16,Feature,"[24.066607, 59.343843]",Point,INDUSTRY,Paldiski,"<p>Paldiski seirejaam asub Pakri poolsaarel Alexela k&uuml;tuseterminali l&auml;histel alates 2008 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 503790/6578420. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega mittemetaanseid s&uuml;sivesinikke, aromaatseid s&uuml;sivesinikke ja meteoroloogilisi parameetreid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>&Uuml;lds&uuml;sivesinikud</td>
			<td>Horiba APHA-370</td>
		</tr>
		<tr>
			<td>Aromaatsed s&uuml;sivesinikud</td>
			<td>GC955 series 600</td>
		</tr>
	</tbody>
</table>",images/stations/paldiski.jpg,S23,"[8, 14, 16, 18, 34, 37, 41]"
21,Feature,"[27.750225, 59.40276]",Point,INDUSTRY,Sillamäe,"<p>Sillam&auml;e seirejaam on paigaldatud Sillam&auml;e linna S&otilde;tke tee algusesse Sillam&auml;e sadama tootmisterritooriumi piirile alates 2014 aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 712900/6590933. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega mittemetaansete s&uuml;sivesinike, aromaatsete s&uuml;sivesinike, ammoniaagi ja peente osakeste kontsentratsiooni ning meteoroloogilisi parameetreid.<br />
&nbsp;</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>&Uuml;lds&uuml;sivesinikud</td>
			<td>Horiba APHA-370</td>
		</tr>
		<tr>
			<td>Aromaatsed s&uuml;sivesinikud</td>
			<td>GC955 series 600</td>
		</tr>
		<tr>
			<td>Ammoniaak</td>
			<td>APNA-370A/CU-1</td>
		</tr>
		<tr>
			<td>PM10/PM25</td>
			<td>Palas Fidas</td>
		</tr>
	</tbody>
</table>",images/stations/sillamae.jpg,S30,"[8, 10, 11, 14, 16, 18, 20, 21, 23, 34, 37, 41]"
38,Feature,"[27.870776, 59.375311]",Point,INDUSTRY,Sinimäe,"<p>Sinim&auml;e seirejaam paikneb Sinim&auml;e k&uuml;las, L-Est s&uuml;steemis on 719936 / 6588294. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega v&auml;&auml;veldioksiidi, vesiniksulfiidi, mittemetaanseid&nbsp;s&uuml;sivesinikke, peeneid osakesi ja eriti peeneid osakesi. Lisaks m&otilde;&otilde;detakse seirejaamas meteoparameetreid.</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>V&auml;&auml;veldioksiid</td>
			<td>Horiba APSA-370</td>
		</tr>
		<tr>
			<td>Vesiniksulfiid</td>
			<td>Horiba APSA-370</td>
		</tr>
		<tr>
			<td>NMHC</td>
			<td>Horiba APHA-370</td>
		</tr>
		<tr>
			<td>Peened osakesed</td>
			<td>Met One BAM 1020</td>
		</tr>
		<tr>
			<td>Eriti peened osakesed</td>
			<td>Met One BAM 1020</td>
		</tr>
	</tbody>
</table>",,S32,"[1, 8, 11, 21, 23, 31, 34, 37, 41]"
40,Feature,"[27.244931, 59.393961]",Point,INDUSTRY,VKG,"<p>VKG seirejaam paikneb VKG tootmisterritooriumi piiril Kohtla-J&auml;rvel. Seirejaama koordinaadid L-Est s&uuml;steemis on 684337/6588445. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega v&auml;&auml;veldioksiidi, vesiniksulfiidi ja meteoroloogilisi parameetreid.</p>",,S18,"[1, 11, 34, 37, 41]"
41,Feature,"[27.748683, 59.39384]",Point,INDUSTRY,Sillamäe 2,"<p>Sillam&auml;e seirejaam on paigaldatud Sillam&auml;e linna Tolstoi t&auml;navale Sillam&auml;e sadama tootmisterritooriumi piirile alates 2019&nbsp;aastast. Seirejaama koordinaadid L-Est s&uuml;steemis on 712881/6589937. Seirejaamas m&otilde;&otilde;detakse automaatanal&uuml;saatoritega ammoniaagi sisaldust v&auml;lis&otilde;hus ja meteoroloogilisi parameetreid.</p>

<table>
	<tbody>
		<tr>
			<th>M&otilde;&otilde;detav parameeter</th>
			<th>Kasutatav anal&uuml;saator</th>
		</tr>
		<tr>
			<td>Ammoniaak</td>
			<td>APNA-370A/CU-1</td>
		</tr>
	</tbody>
</table>",,S33,"[10, 34, 37, 41]"
